id,cert,domain,difficulty,scenarioOrg,stem,A,B,C,D,answer,explanation,tags
sc300-d1-q01,SC-300,Implement and manage user identities,easy,FortisAid Healthcare,FortisAid Healthcare is working in a healthcare tenant with sensitive patient data. The security lead needs to verify a custom domain and present trusted sign-in branding. Which action best satisfies the requirement while following least privilege?,add the DNS TXT record and configure company branding,change the default tenant name only,create a Conditional Access policy for the domain,assign licenses before verification,A,"The best answer is to add the DNS TXT record and configure company branding. This directly addresses tenant setup and domain management, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","tenant-domain-branding, tenant, domain-1"
sc300-d1-q02,SC-300,Implement and manage user identities,medium,ClearVault Finance,"During a review at ClearVault Finance, auditors found a gap related to administrative units and delegated administration. You must fix it without adding unnecessary standing access. What should you do?",make the team Global Administrators,scope the role assignment to an administrative unit,create a dynamic group only,use a device compliance policy,B,"The best answer is to scope the role assignment to an administrative unit. This directly addresses administrative units and delegated administration, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","admin-units, administrative, domain-1"
sc300-d1-q03,SC-300,Implement and manage user identities,medium,Helix x Pulse Networks,"A change request at Helix x Pulse Networks says: ""onboard many employees with consistent attributes and licenses."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",manually create every account,ask Microsoft Support to import the users,use Microsoft Graph PowerShell or bulk CSV import with group-based licensing,store passwords in a shared spreadsheet,C,"The best answer is to use Microsoft Graph PowerShell or bulk CSV import with group-based licensing. This directly addresses bulk user creation and attributes, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","bulk-user-management, bulk, domain-1"
sc300-d1-q04,SC-300,Implement and manage user identities,hard,Nexus Financial,"Nexus Financial has a production issue involving dynamic groups and group lifecycle. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",use a static assigned group,grant access directly to each user,create a Conditional Access named location,create a dynamic membership rule on the required attribute,D,"The best answer is to create a dynamic membership rule on the required attribute. This directly addresses dynamic groups and group lifecycle, keeps permissions scoped, and matches the exam objective for Implement and manage user identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","dynamic-groups, dynamic, domain-1"
sc300-d1-q05,SC-300,Implement and manage user identities,medium,FortisAid Healthcare,You are designing controls for FortisAid Healthcare. The requirement is to synchronize selected on-premises identities to Entra ID. Which implementation is the most appropriate?,configure Microsoft Entra Connect Sync or Cloud Sync with filtering,create cloud-only duplicates,use B2B collaboration for employees,enable PIM for every synced account,A,"The best answer is to configure Microsoft Entra Connect Sync or Cloud Sync with filtering. This directly addresses hybrid identity synchronization, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","hybrid-sync, hybrid, domain-1"
sc300-d1-q06,SC-300,Implement and manage user identities,easy,ClearVault Finance,ClearVault Finance is working in a secure Azure landing zone. The security lead needs to collaborate with partner users while limiting their tenant access. Which action best satisfies the requirement while following least privilege?,create permanent member accounts for all partners,"configure External Identities, cross-tenant access settings, and scoped app access",disable guest access reviews,share an administrator account,B,"The best answer is to configure External Identities, cross-tenant access settings, and scoped app access. This directly addresses external identities and B2B, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","external-identities, external, domain-1"
sc300-d1-q07,SC-300,Implement and manage user identities,medium,Helix x Pulse Networks,"During a review at Helix x Pulse Networks, auditors found a gap related to tenant setup and domain management. You must fix it without adding unnecessary standing access. What should you do?",change the default tenant name only,create a Conditional Access policy for the domain,add the DNS TXT record and configure company branding,assign licenses before verification,C,"The best answer is to add the DNS TXT record and configure company branding. This directly addresses tenant setup and domain management, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","tenant-domain-branding, tenant, domain-1"
sc300-d1-q08,SC-300,Implement and manage user identities,medium,Nexus Financial,"A change request at Nexus Financial says: ""delegate user administration for one department without tenant-wide rights."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",make the team Global Administrators,create a dynamic group only,use a device compliance policy,scope the role assignment to an administrative unit,D,"The best answer is to scope the role assignment to an administrative unit. This directly addresses administrative units and delegated administration, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","admin-units, administrative, domain-1"
sc300-d1-q09,SC-300,Implement and manage user identities,hard,FortisAid Healthcare,"FortisAid Healthcare has a production issue involving bulk user creation and attributes. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",use Microsoft Graph PowerShell or bulk CSV import with group-based licensing,manually create every account,ask Microsoft Support to import the users,store passwords in a shared spreadsheet,A,"The best answer is to use Microsoft Graph PowerShell or bulk CSV import with group-based licensing. This directly addresses bulk user creation and attributes, keeps permissions scoped, and matches the exam objective for Implement and manage user identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","bulk-user-management, bulk, domain-1"
sc300-d1-q10,SC-300,Implement and manage user identities,medium,ClearVault Finance,You are designing controls for ClearVault Finance. The requirement is to automatically grant access based on user attributes. Which implementation is the most appropriate?,use a static assigned group,create a dynamic membership rule on the required attribute,grant access directly to each user,create a Conditional Access named location,B,"The best answer is to create a dynamic membership rule on the required attribute. This directly addresses dynamic groups and group lifecycle, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","dynamic-groups, dynamic, domain-1"
sc300-d1-q11,SC-300,Implement and manage user identities,easy,Helix x Pulse Networks,Helix x Pulse Networks is working in a post-acquisition identity consolidation. The security lead needs to synchronize selected on-premises identities to Entra ID. Which action best satisfies the requirement while following least privilege?,create cloud-only duplicates,use B2B collaboration for employees,configure Microsoft Entra Connect Sync or Cloud Sync with filtering,enable PIM for every synced account,C,"The best answer is to configure Microsoft Entra Connect Sync or Cloud Sync with filtering. This directly addresses hybrid identity synchronization, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","hybrid-sync, hybrid, domain-1"
sc300-d1-q12,SC-300,Implement and manage user identities,medium,Nexus Financial,"During a review at Nexus Financial, auditors found a gap related to external identities and B2B. You must fix it without adding unnecessary standing access. What should you do?",create permanent member accounts for all partners,disable guest access reviews,share an administrator account,"configure External Identities, cross-tenant access settings, and scoped app access",D,"The best answer is to configure External Identities, cross-tenant access settings, and scoped app access. This directly addresses external identities and B2B, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","external-identities, external, domain-1"
sc300-d1-q13,SC-300,Implement and manage user identities,medium,FortisAid Healthcare,"A change request at FortisAid Healthcare says: ""verify a custom domain and present trusted sign-in branding."" The solution must be auditable and aligned to Microsoft cloud security practices. Which option should you choose?",add the DNS TXT record and configure company branding,change the default tenant name only,create a Conditional Access policy for the domain,assign licenses before verification,A,"The best answer is to add the DNS TXT record and configure company branding. This directly addresses tenant setup and domain management, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","tenant-domain-branding, tenant, domain-1"
sc300-d1-q14,SC-300,Implement and manage user identities,hard,ClearVault Finance,"ClearVault Finance has a production issue involving administrative units and delegated administration. The team wants the fastest secure remediation, not a temporary workaround. What is the best answer? The solution must minimize blast radius and preserve investigation evidence.",make the team Global Administrators,scope the role assignment to an administrative unit,create a dynamic group only,use a device compliance policy,B,"The best answer is to scope the role assignment to an administrative unit. This directly addresses administrative units and delegated administration, keeps permissions scoped, and matches the exam objective for Implement and manage user identities. In exam scenarios, prefer controls that are enforceable, auditable, and least-privileged over broad access or manual process.","admin-units, administrative, domain-1"
sc300-d1-q15,SC-300,Implement and manage user identities,medium,Helix x Pulse Networks,You are designing controls for Helix x Pulse Networks. The requirement is to onboard many employees with consistent attributes and licenses. Which implementation is the most appropriate?,manually create every account,ask Microsoft Support to import the users,use Microsoft Graph PowerShell or bulk CSV import with group-based licensing,store passwords in a shared spreadsheet,C,"The best answer is to use Microsoft Graph PowerShell or bulk CSV import with group-based licensing. This directly addresses bulk user creation and attributes, keeps permissions scoped, and matches the exam objective for Implement and manage user identities.","bulk-user-management, bulk, domain-1"
